K¸rzel;Warengruppe;Einheit;Preis;Jahr;Monat;Kunde;Spalte1;;
1005;Pizzastangen klein;4500;1,02;2019;September;LIDL;;;
1005;Pizzastangen klein;5000;1,02;2019;Oktober;Edeka Berlin;;;
1005;Pizzastangen klein;10000;1,02;2019;Oktober;Lekkerland;;;
1005;Pizzastangen klein;4500;1,02;2019;Oktober;LIDL;;;
1005;Pizzastangen klein;5000;1,02;2019;November;Edeka Berlin;;;
1005;Pizzastangen klein;10000;1,02;2019;November;Lekkerland;;;
1005;Pizzastangen klein;4500;1,02;2019;November;LIDL;;;
1005;Pizzastangen klein;5000;1,02;2019;Dezember;Edeka Berlin;;;
1005;Pizzastangen klein;10000;1,02;2019;Dezember;Lekkerland;;;
1005;Pizzastangen klein;4500;1,02;2019;Dezember;LIDL;;;
1014;Quiche;200;12,30;2019;Januar;B&M;;;
1014;Quiche;250;12,30;2019;Januar;Bio Company;;;
1014;Quiche;150;12,30;2019;Januar;Migros;;;
1014;Quiche;200;12,30;2019;Februar;B&M;;;
1014;Quiche;250;12,30;2019;Februar;Bio Company;;;
1014;Quiche;400;12,30;2019;Februar;Budnikowsky;;;
1014;Quiche;150;12,30;2019;Februar;Migros;;;
1014;Quiche;300;12,30;2019;M‰rz;B&M;;;
1014;Quiche;250;12,30;2019;M‰rz;Bio Company;;;
1014;Quiche;400;12,30;2019;M‰rz;Budnikowsky;;;
1014;Quiche;150;12,30;2019;M‰rz;Migros;;;
1014;Quiche;350;12,30;2019;April;B&M;;;
1014;Quiche;250;12,30;2019;April;Bio Company;;;
1014;Quiche;500;12,30;2019;April;Budnikowsky;;;
1014;Quiche;150;12,30;2019;April;Migros;;;
1014;Quiche;400;12,30;2019;Mai;B&M;;;
1014;Quiche;250;12,30;2019;Mai;Bio Company;;;
1014;Quiche;500;12,30;2019;Mai;Budnikowsky;;;
1014;Quiche;150;12,30;2019;Mai;Migros;;;
1014;Quiche;450;12,30;2019;Juni;B&M;;;
1014;Quiche;250;12,30;2019;Juni;Bio Company;;;
1014;Quiche;500;12,30;2019;Juni;Budnikowsky;;;
1014;Quiche;150;12,30;2019;Juni;Migros;;;
1014;Quiche;500;12,30;2019;Juli;B&M;;;
1014;Quiche;250;12,30;2019;Juli;Bio Company;;;
1014;Quiche;600;12,30;2019;Juli;Budnikowsky;;;
1014;Quiche;150;12,30;2019;Juli;Migros;;;
1014;Quiche;500;12,30;2019;August;B&M;;;
1014;Quiche;250;12,30;2019;August;Bio Company;;;
1014;Quiche;600;12,30;2019;August;Budnikowsky;;;
1014;Quiche;150;12,30;2019;August;Migros;;;
1014;Quiche;500;12,30;2019;September;B&M;;;
